iter	Passed	Remaining
909	109473	70977
910	109614	70870
911	109752	70761
912	109880	70645
913	110041	70551
914	110169	70436
915	110304	70325
916	110435	70211
917	110559	70093
918	110693	69981
919	110815	69862
920	110949	69750
921	111074	69632
922	111198	69514
923	111324	69396
924	111450	69279
925	111587	69169
926	111720	69057
927	111860	68948
928	112025	68855
929	112147	68735
930	112281	68623
931	112405	68504
932	112531	68387
933	112657	68269
934	112777	68149
935	112925	68044
936	113049	67926
937	113166	67803
938	113300	67690
939	113423	67571
940	113565	67463
941	113691	67345
942	113824	67232
943	113963	67122
944	114088	67004
945	114215	66887
946	114339	66768
947	114466	66651
948	114621	66550
949	114748	66433
950	114915	66339
951	115040	66220
952	115184	66113
953	115309	65995
954	115437	65878
955	115564	65760
956	115686	65640
957	115805	65518
958	115939	65405
959	116064	65286
960	116198	65172
961	116325	65055
962	116451	64936
963	116582	64821
964	116711	64705
965	116842	64589
966	116966	64470
967	117091	64352
968	117215	64232
969	117342	64115
970	117487	64007
971	117614	63889
972	117735	63768
973	117853	63645
974	117981	63528
975	118120	63417
976	118240	63295
977	118361	63174
978	118489	63057
979	118607	62934
980	118733	62816
981	118887	62712
982	119017	62596
983	119155	62483
984	119296	62373
985	119442	62265
986	119594	62160
987	119733	62048
988	119878	61939
989	120011	61824
990	120144	61708
991	120276	61593
992	120410	61478
993	120546	61364
994	120684	61251
995	120827	61141
996	120964	61028
997	121093	60910
998	121222	60793
999	121349	60674
1000	121478	60556
1001	121599	60435
1002	121747	60327
1003	121871	60207
1004	121992	60085
1005	122120	59967
1006	122245	59848
1007	122372	59729
1008	122800	59757
1009	123464	59898
1010	123986	59969
1011	124483	60027
1012	125003	60095
1013	125511	60156
1014	125977	60196
1015	126136	60088
1016	126287	59977
1017	126441	59867
1018	126582	59751
1019	126758	59651
1020	126916	59542
1021	127057	59425
1022	127199	59310
1023	127344	59195
1024	127485	59078
1025	127638	58967
1026	127784	58853
1027	127953	58749
1028	128083	58627
1029	128214	58505
1030	128345	58384
1031	128474	58261
1032	128604	58139
1033	128731	58016
1034	128858	57892
1035	128996	57774
1036	129125	57652
1037	129255	57529
1038	129397	57413
1039	129557	57304
1040	129722	57197
1041	129866	57081
1042	130010	56965
1043	130155	56849
1044	130304	56735
1045	130444	56617
1046	130587	56500
1047	130718	56378
1048	130856	56259
1049	130988	56137
1050	131124	56017
1051	131245	55891
1052	131384	55772
1053	131514	55650
1054	131646	55528
1055	131782	55408
1056	131914	55286
1057	132043	55163
1058	132170	55039
1059	132301	54917
1060	132436	54797
1061	132570	54675
1062	132727	54564
1063	132856	54440
1064	132976	54314
1065	133113	54194
1066	133248	54073
1067	133380	53951
1068	133543	53842
1069	133672	53718
1070	133839	53610
1071	133967	53487
1072	134130	53377
1073	134260	53253
1074	134397	53133
1075	134533	53013
1076	134663	52890
1077	134789	52765
1078	134919	52642
1079	135063	52524
1080	135203	52405
1081	135334	52282
1082	135471	52162
1083	135595	52036
1084	135730	51915
1085	135889	51802
1086	136017	51679
1087	136144	51554
1088	136277	51432
1089	136419	51313
1090	136569	51197
1091	136710	51078
1092	136849	50958
1093	136987	50838
1094	137146	50725
1095	137310	50614
1096	137457	50497
1097	137625	50387
1098	137859	50301
1099	138040	50196
1100	138241	50098
1101	138406	49987
1102	138575	49877
1103	138762	49773
1104	138917	49658
1105	139065	49540
1106	139178	49410
1107	139316	49288
1108	139449	49165
1109	139583	49043
1110	139733	48925
1111	139874	48805
1112	140031	48690
1113	140168	48568
1114	140302	48445
1115	140457	48329
1116	140607	48211
1117	140741	48088
1118	140893	47971
1119	141026	47848
1120	141157	47724
1121	141287	47599
1122	141451	47486
1123	141592	47365
1124	141742	47247
1125	141882	47126
1126	142016	47002
1127	142147	46878
1128	142272	46752
1129	142405	46628
1130	142541	46505
1131	142686	46385
1132	142830	46265
1133	142976	46145
1134	143121	46025
1135	143285	45911
1136	143427	45790
1137	143570	45670
1138	143716	45550
1139	143855	45428
1140	144036	45319
1141	144418	45272
1142	144620	45170
1143	144802	45060
1144	144959	44943
1145	145157	44839
1146	145338	44729
1147	145515	44617
1148	145682	44503
1149	145874	44396
1150	146060	44287
1151	146226	44172
1152	146436	44070
1153	146580	43948
1154	146727	43827
1155	146954	43730
1156	147146	43622
1157	147389	43529
1158	147602	43427
1159	147813	43324
1160	148079	43237
1161	148286	43133
1162	148480	43024
1163	148697	42923
1164	148979	42839
1165	149196	42737
1166	149373	42623
1167	149676	42544
1168	149978	42466
1169	150180	42358
1170	150417	42260
1171	150680	42170
1172	150953	42081
1173	151219	41991
1174	151398	41876
1175	151606	41769
1176	151795	41656
1177	152039	41559
1178	152292	41463
1179	152448	41341
1180	152607	41220
1181	152787	41105
1182	152980	40993
1183	153133	40870
1184	153291	40748
1185	153443	40624
1186	153583	40498
1187	153756	40380
1188	153919	40259
1189	154083	40139
1190	154271	40025
1191	154434	39904
1192	154924	39867
1193	155081	39744
1194	155258	39626
1195	155437	39509
1196	155647	39399
1197	155870	39292
1198	156072	39180
1199	156270	39067
1200	156509	38964
1201	156734	38857
1202	157014	38764
1203	157291	38669
1204	157467	38550
1205	157642	38430
1206	157789	38303
1207	157948	38179
1208	158108	38055
1209	158280	37934
1210	158436	37810
1211	158643	37697
1212	158822	37577
1213	159028	37464
1214	159166	37335
1215	159392	37226
1216	159621	37118
1217	159978	37039
1218	160331	36959
1219	160548	36847
1220	160865	36757
1221	161054	36639
1222	161218	36514
1223	161416	36397
1224	161614	36280
1225	161780	36156
1226	161943	36031
1227	162101	35905
1228	162302	35788
1229	162472	35664
1230	162684	35550
1231	162824	35419
1232	162998	35296
1233	163169	35172
1234	163344	35049
1235	163547	34932
1236	163804	34826
1237	163984	34704
1238	164160	34581
1239	164326	34455
1240	164500	34331
1241	164659	34204
1242	164826	34079
1243	165001	33955
1244	165197	33835
1245	165388	33714
1246	165530	33583
1247	165673	33453
1248	165817	33322
1249	165987	33197
1250	166137	33068
1251	166274	32936
1252	166402	32802
1253	166535	32669
1254	166721	32547
1255	166872	32417
1256	167024	32288
1257	167184	32161
1258	167394	32043
1259	167578	31919
1260	167767	31797
1261	167954	31674
1262	168115	31546
1263	168281	31419
1264	168461	31295
1265	168648	31172
1266	168848	31051
1267	168999	30921
1268	169169	30794
1269	169305	30661
1270	169449	30530
1271	169584	30397
1272	169722	30264
1273	169854	30131
1274	169982	29996
1275	170125	29865
1276	170256	29731
1277	170385	29597
1278	170510	29462
1279	170639	29328
1280	170805	29200
1281	170940	29067
1282	171072	28934
1283	171205	28800
1284	171364	28671
1285	171517	28541
1286	171656	28409
1287	171808	28278
1288	171939	28145
1289	172072	28011
1290	172212	27879
1291	172371	27750
1292	172506	27617
1293	172646	27484
1294	172804	27355
1295	172957	27224
1296	173095	27092
1297	173231	26959
1298	173371	26826
1299	173490	26690
1300	173619	26556
1301	173747	26422
1302	173882	26289
1303	174017	26156
1304	174153	26022
1305	174292	25890
1306	174421	25756
1307	174541	25620
1308	174662	25485
1309	174786	25350
1310	174930	25218
1311	175078	25087
1312	175240	24958
1313	175460	24836
1314	175626	24707
1315	175782	24577
1316	175927	24445
1317	176074	24313
1318	176213	24180
1319	176382	24052
1320	176549	23923
1321	176704	23792
1322	176859	23661
1323	176997	23528
1324	177140	23395
1325	177294	23264
1326	177422	23130
1327	177541	22994
1328	177675	22861
1329	177801	22726
1330	177936	22593
1331	178061	22458
1332	178191	22324
1333	178317	22189
1334	178445	22055
1335	178577	21921
1336	178690	21785
1337	178818	21650
1338	178945	21516
1339	179066	21381
1340	179210	21248
1341	179384	21119
1342	179546	20989
1343	179699	20857
1344	179849	20726
1345	180035	20598
1346	180191	20467
1347	180332	20334
1348	180484	20202
1349	180611	20067
1350	180751	19934
1351	180886	19801
1352	181016	19666
1353	181147	19532
1354	181283	19399
1355	181437	19267
1356	181559	19132
1357	181681	18997
1358	181810	18863
1359	181940	18729
1360	182075	18595
1361	182203	18461
1362	182339	18327
1363	182466	18193
1364	182590	18058
1365	182723	17924
1366	182954	17800
1367	183472	17703
1368	183999	17607
1369	184555	17512
1370	185100	17416
1371	185701	17324
1372	186216	17224
1373	186727	17123
1374	187261	17023
1375	187767	16920
1376	187928	16786
1377	188070	16650
1378	188212	16514
1379	188359	16379
1380	188508	16243
1381	188648	16107
1382	188830	15974
1383	188983	15839
1384	189125	15703
1385	189274	15567
1386	189413	15431
1387	189550	15295
1388	189703	15159
