iter	Passed	Remaining
572	60998	13519
573	61120	13416
574	61247	13314
575	61365	13210
576	61488	13107
577	61613	13004
578	61752	12905
579	61872	12801
580	62030	12705
581	62151	12601
582	62283	12499
583	62412	12396
584	62533	12292
585	62671	12192
586	62816	12092
587	62930	11986
588	63048	11881
589	63178	11779
590	63301	11674
591	63424	11570
592	63542	11465
593	63671	11362
594	63786	11256
595	63921	11154
596	64059	11052
597	64180	10947
598	64301	10842
599	64428	10738
600	64559	10634
601	64677	10528
602	64809	10425
603	64945	10322
604	65070	10217
605	65190	10112
606	65312	10006
607	65431	9900
608	65550	9794
609	65668	9688
610	65800	9584
611	65919	9478
612	66041	9372
613	66167	9267
614	66288	9161
615	66410	9055
616	66527	8949
617	66640	8842
618	66757	8735
619	66885	8630
620	67016	8525
621	67141	8419
622	67266	8313
623	67415	8210
624	67544	8105
625	67676	8000
626	67793	7893
627	67911	7786
628	68030	7679
629	68147	7571
630	68266	7464
631	68395	7359
632	68509	7251
633	68625	7143
634	68744	7036
635	68872	6930
636	68991	6823
637	69106	6715
638	69219	6607
639	69317	6498
640	69441	6391
641	69563	6284
642	69676	6176
643	69792	6068
644	69911	5961
645	70042	5854
646	70157	5747
647	70273	5639
648	70391	5531
649	70512	5424
650	70643	5317
651	70762	5209
652	70880	5101
653	70995	4993
654	71127	4886
655	71263	4779
656	71377	4671
657	71491	4563
658	71611	4455
659	71732	4347
660	71858	4239
661	71971	4131
662	72087	4022
663	72204	3914
664	72333	3807
665	72485	3700
666	72598	3591
667	72715	3483
668	72830	3374
669	72953	3266
670	73089	3158
671	73207	3050
672	73332	2942
673	73480	2834
674	73600	2725
675	73722	2617
676	73836	2508
677	73964	2400
678	74078	2291
679	74198	2182
680	74336	2073
681	74452	1965
682	74565	1855
683	74678	1746
684	74796	1637
685	74919	1528
686	75051	1420
687	75172	1311
688	75298	1202
689	75418	1093
690	75548	983
691	75666	874
692	75777	765
693	75912	656
694	76056	547
695	76187	437
696	76307	328
697	76430	218
698	76546	109
699	76677	0
